universalify	mocha	rimraf	standard
1.0.0	5.2.0	2.4.0	12.0.1
1.0.0	5.2.0	2.4.1	12.0.1
1.0.0	5.2.0	2.4.2	12.0.1
1.0.0	5.2.0	2.4.3	12.0.1
1.0.0	5.2.0	2.4.4	12.0.1
1.0.0	5.2.0	2.4.5	12.0.1
1.0.0	5.2.0	2.5.0	12.0.1
1.0.0	5.2.0	2.5.1	12.0.1
1.0.0	5.2.0	2.5.2	12.0.1
1.0.0	5.2.0	2.5.3	12.0.1
1.0.0	5.2.0	2.5.4	12.0.1
1.0.0	5.2.0	2.6.0	12.0.1
1.0.0	5.2.0	2.6.1	12.0.1
1.0.0	5.2.0	2.6.2	12.0.1
1.0.0	5.2.0	2.6.3	12.0.1
1.0.0	5.2.0	2.7.0	12.0.1
1.0.0	5.2.0	2.7.1	12.0.1
