@google-cloud/storage	@size-limit/preset-small-lib	@strictsoftware/typedoc-plugin-monorepo	@types/chai	@types/jest	@types/mocha	@types/node	@types/sinon	chai	codecov	jest	karma-browserstack-launcher	karma-firefox-launcher	lerna	mocha	npm-run-all	prettier	replace-in-file	rimraf	sinon	size-limit	ts-jest	typedoc	typescript	Reason
2.5.0	4.6.0	0.3.1	4.2.12	24.9.1	5.2.7	11.15.23	7.0.12	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_33_52_152Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.12	24.0.23	5.2.7	11.15.23	7.5.2	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_36_27_678Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.6	24.9.1	5.2.7	11.15.23	7.5.2	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_39_09_413Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.12	24.9.1	5.2.3	11.15.23	7.5.2	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_41_54_083Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.12	24.0.20	5.2.7	11.15.23	7.5.2	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_44_36_158Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.0	24.9.1	5.2.7	11.15.23	7.5.2	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_47_15_223Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.12	24.9.1	5.2.7	11.15.23	7.5.2	4.2.0	3.7.2	24.7.1	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_49_53_700Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.12	24.9.1	5.2.7	11.13.19	7.5.2	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_52_33_026Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.12	24.9.1	5.2.7	11.13.22	7.5.2	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_55_13_626Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.12	24.9.1	5.2.4	11.15.23	7.5.2	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_57_51_772Z-debug.log</ br>
